OBJECTID,GEO_ID_TRT,TRACT_LBL,E25058232,M25058232
1,53033000100,Tract 000100,1123,82
2,53033000200,Tract 000200,1341,68
3,53033000300,Tract 000300,1262,121
4,53033000401,Tract 000401,985,80
5,53033000402,Tract 000402,1177,118
6,53033000500,Tract 000500,1831,242
7,53033000600,Tract 000600,1256,100
8,53033000700,Tract 000700,1264,110
9,53033000800,Tract 000800,1643,329
10,53033000900,Tract 000900,2016,767
11,53033001000,Tract 001000,1248,164
12,53033001100,Tract 001100,1325,90
13,53033001200,Tract 001200,1253,81
14,53033001300,Tract 001300,1208,108
15,53033001400,Tract 001400,1236,114
16,53033001500,Tract 001500,1351,193
17,53033001600,Tract 001600,1535,216
18,53033001701,Tract 001701,1305,148
19,53033001702,Tract 001702,1427,100
20,53033001800,Tract 001800,1476,102
21,53033001900,Tract 001900,1790,87
22,53033002000,Tract 002000,1537,148
23,53033002100,Tract 002100,1465,162
24,53033002200,Tract 002200,1794,109
25,53033002400,Tract 002400,1320,173
26,53033002500,Tract 002500,1655,233
27,53033002600,Tract 002600,1574,205
28,53033002700,Tract 002700,2175,313
29,53033002800,Tract 002800,1404,165
30,53033002900,Tract 002900,1324,194
31,53033003000,Tract 003000,1796,225
32,53033003100,Tract 003100,1661,396
33,53033003200,Tract 003200,1303,96
34,53033003300,Tract 003300,1575,114
35,53033003400,Tract 003400,1423,112
36,53033003500,Tract 003500,1366,146
37,53033003600,Tract 003600,1599,121
38,53033003800,Tract 003800,1385,270
39,53033003900,Tract 003900,1406,551
40,53033004000,Tract 004000,1180,245
41,53033004100,Tract 004100,1591,184
42,53033004200,Tract 004200,1678,180
43,53033004301,Tract 004301,1244,170
44,53033004302,Tract 004302,1117,127
45,53033004400,Tract 004400,1284,136
46,53033004500,Tract 004500,1762,180
47,53033004600,Tract 004600,1725,198
48,53033004700,Tract 004700,1607,71
49,53033004800,Tract 004800,1716,167
50,53033004900,Tract 004900,1453,66
51,53033005000,Tract 005000,1500,94
52,53033005100,Tract 005100,1476,315
53,53033005200,Tract 005200,1374,86
54,53033005301,Tract 005301,1235,83
55,53033005302,Tract 005302,1292,98
56,53033005400,Tract 005400,1635,97
57,53033005600,Tract 005600,2058,555
58,53033005700,Tract 005700,1349,155
59,53033005801,Tract 005801,1559,122
60,53033005802,Tract 005802,1435,74
61,53033005900,Tract 005900,1635,137
62,53033006000,Tract 006000,1683,108
63,53033006100,Tract 006100,1442,75
64,53033006200,Tract 006200,2406,727
65,53033006300,Tract 006300,1549,161
66,53033006400,Tract 006400,1914,228
67,53033006500,Tract 006500,1621,102
68,53033006600,Tract 006600,1590,128
69,53033006700,Tract 006700,1772,84
70,53033006800,Tract 006800,1834,95
71,53033006900,Tract 006900,1716,143
72,53033007000,Tract 007000,1270,61
73,53033007100,Tract 007100,1643,87
74,53033007200,Tract 007200,1811,92
75,53033007300,Tract 007300,1695,140
76,53033007401,Tract 007401,1408,36
77,53033007402,Tract 007402,1282,97
78,53033007500,Tract 007500,1427,66
79,53033007600,Tract 007600,1539,119
80,53033007700,Tract 007700,1487,263
81,53033007800,Tract 007800,1573,371
82,53033007900,Tract 007900,1420,115
83,53033008001,Tract 008001,1839,121
84,53033008002,Tract 008002,1365,233
85,53033008100,Tract 008100,1588,275
86,53033008200,Tract 008200,1573,210
87,53033008300,Tract 008300,1483,128
88,53033008400,Tract 008400,1365,129
89,53033008500,Tract 008500,1151,66
90,53033008600,Tract 008600,1353,96
91,53033008700,Tract 008700,1391,187
92,53033008800,Tract 008800,1394,206
93,53033008900,Tract 008900,1481,156
94,53033009000,Tract 009000,1098,122
95,53033009100,Tract 009100,686,57
96,53033009200,Tract 009200,888,83
97,53033009300,Tract 009300,1530,150
98,53033009400,Tract 009400,1034,122
99,53033009500,Tract 009500,921,190
100,53033009600,Tract 009600,1270,116
101,53033009701,Tract 009701,1355,90
102,53033009702,Tract 009702,1540,256
103,53033009800,Tract 009800,1350,137
104,53033009900,Tract 009900,1340,93
105,53033010001,Tract 010001,845,97
106,53033010002,Tract 010002,1236,136
107,53033010100,Tract 010100,1117,167
108,53033010200,Tract 010200,1479,251
109,53033010300,Tract 010300,1235,151
110,53033010401,Tract 010401,1298,199
111,53033010402,Tract 010402,1367,88
112,53033010500,Tract 010500,1523,108
113,53033010600,Tract 010600,1377,116
114,53033010701,Tract 010701,1032,121
115,53033010702,Tract 010702,483,227
116,53033010800,Tract 010800,1382,239
117,53033010900,Tract 010900,1046,283
118,53033011001,Tract 011001,835,190
119,53033011002,Tract 011002,1015,197
120,53033011101,Tract 011101,1220,103
121,53033011102,Tract 011102,1129,137
122,53033011200,Tract 011200,867,170
123,53033011300,Tract 011300,1065,84
124,53033011401,Tract 011401,1359,89
125,53033011402,Tract 011402,935,65
126,53033011500,Tract 011500,1244,250
127,53033011600,Tract 011600,1401,119
128,53033011700,Tract 011700,970,735
129,53033011800,Tract 011800,978,95
130,53033011900,Tract 011900,1032,229
131,53033012000,Tract 012000,1416,131
132,53033012100,Tract 012100,1790,517
133,53033020100,Tract 020100,1268,335
134,53033020200,Tract 020200,1359,198
135,53033020300,Tract 020300,1350,84
136,53033020401,Tract 020401,1178,160
137,53033020402,Tract 020402,1148,208
138,53033020500,Tract 020500,1298,107
139,53033020600,Tract 020600,1449,285
140,53033020700,Tract 020700,1218,94
141,53033020800,Tract 020800,1103,63
142,53033020900,Tract 020900,981,149
143,53033021000,Tract 021000,1471,130
144,53033021100,Tract 021100,1198,77
145,53033021300,Tract 021300,1248,117
146,53033021400,Tract 021400,1844,343
147,53033021500,Tract 021500,2150,370
148,53033021600,Tract 021600,1507,373
149,53033021700,Tract 021700,1112,114
150,53033021802,Tract 021802,1663,132
151,53033021803,Tract 021803,1159,150
152,53033021804,Tract 021804,1562,163
153,53033021903,Tract 021903,1650,131
154,53033021904,Tract 021904,1458,265
155,53033021905,Tract 021905,1422,130
156,53033021906,Tract 021906,1438,103
157,53033022001,Tract 022001,1344,97
158,53033022003,Tract 022003,1600,112
159,53033022005,Tract 022005,1661,101
160,53033022006,Tract 022006,1314,110
161,53033022101,Tract 022101,1539,231
162,53033022102,Tract 022102,1725,183
163,53033022201,Tract 022201,1380,67
164,53033022202,Tract 022202,1620,109
165,53033022203,Tract 022203,1754,79
166,53033022300,Tract 022300,1777,73
167,53033022400,Tract 022400,1814,96
168,53033022500,Tract 022500,1570,161
169,53033022603,Tract 022603,1528,180
170,53033022604,Tract 022604,1612,363
171,53033022605,Tract 022605,1614,84
172,53033022606,Tract 022606,1694,188
173,53033022701,Tract 022701,2004,134
174,53033022702,Tract 022702,1744,530
175,53033022703,Tract 022703,1665,109
176,53033022801,Tract 022801,1556,84
177,53033022802,Tract 022802,1741,97
178,53033022803,Tract 022803,1764,74
179,53033022901,Tract 022901,2250,231
180,53033022902,Tract 022902,1720,125
181,53033023000,Tract 023000,1951,113
182,53033023100,Tract 023100,2100,181
183,53033023201,Tract 023201,1668,78
184,53033023202,Tract 023202,1232,82
185,53033023300,Tract 023300,1745,233
186,53033023401,Tract 023401,1253,370
187,53033023403,Tract 023403,1784,119
188,53033023404,Tract 023404,2009,279
189,53033023500,Tract 023500,1743,172
190,53033023601,Tract 023601,1573,179
191,53033023603,Tract 023603,1639,72
192,53033023604,Tract 023604,1499,109
193,53033023700,Tract 023700,1823,82
194,53033023801,Tract 023801,1728,87
195,53033023803,Tract 023803,1951,78
196,53033023804,Tract 023804,2051,135
197,53033023900,Tract 023900,1415,143
198,53033024000,Tract 024000,1948,236
199,53033024100,Tract 024100,2339,222
200,53033024200,Tract 024200,2425,1926
201,53033024300,Tract 024300,1915,189
202,53033024400,Tract 024400,1797,115
203,53033024500,Tract 024500,2873,206
204,53033024601,Tract 024601,2675,1113
205,53033024602,Tract 024602,1883,492
206,53033024701,Tract 024701,1664,208
207,53033024702,Tract 024702,1733,156
208,53033024800,Tract 024800,1835,199
209,53033024901,Tract 024901,3062,543
210,53033024902,Tract 024902,2123,204
211,53033024903,Tract 024903,2423,329
212,53033025001,Tract 025001,1684,219
213,53033025003,Tract 025003,1854,152
214,53033025005,Tract 025005,1535,137
215,53033025006,Tract 025006,1910,328
216,53033025101,Tract 025101,1298,81
217,53033025102,Tract 025102,1606,150
218,53033025200,Tract 025200,1411,176
219,53033025301,Tract 025301,1556,89
220,53033025302,Tract 025302,1115,86
221,53033025400,Tract 025400,1168,80
222,53033025500,Tract 025500,1156,137
223,53033025601,Tract 025601,1128,82
224,53033025602,Tract 025602,1137,127
225,53033025701,Tract 025701,1328,61
226,53033025702,Tract 025702,1607,94
227,53033025803,Tract 025803,1255,121
228,53033025804,Tract 025804,1309,158
