OBJECTID,GEO_ID_TRT,TRACT_LBL,E25077027,M25077027
1,53033000100,Tract 000100,572900,48502
2,53033000200,Tract 000200,414800,30625
3,53033000300,Tract 000300,446400,29039
4,53033000401,Tract 000401,353200,55654
5,53033000402,Tract 000402,485300,65407
6,53033000500,Tract 000500,776000,55638
7,53033000600,Tract 000600,493700,34059
8,53033000700,Tract 000700,388400,40544
9,53033000800,Tract 000800,505900,33508
10,53033000900,Tract 000900,831200,85171
11,53033001000,Tract 001000,566500,29491
12,53033001100,Tract 001100,531900,45653
13,53033001200,Tract 001200,393300,70787
14,53033001300,Tract 001300,507600,70057
15,53033001400,Tract 001400,579800,30713
16,53033001500,Tract 001500,774900,57575
17,53033001600,Tract 001600,814700,41664
18,53033001701,Tract 001701,379200,42928
19,53033001702,Tract 001702,499500,60899
20,53033001800,Tract 001800,475900,50639
21,53033001900,Tract 001900,481200,30569
22,53033002000,Tract 002000,541200,55948
23,53033002100,Tract 002100,605100,58710
24,53033002200,Tract 002200,796200,40051
25,53033002400,Tract 002400,648100,30930
26,53033002500,Tract 002500,612600,35728
27,53033002600,Tract 002600,667500,29608
28,53033002700,Tract 002700,747500,59621
29,53033002800,Tract 002800,618200,39899
30,53033002900,Tract 002900,634700,27012
31,53033003000,Tract 003000,658800,27840
32,53033003100,Tract 003100,636900,25886
33,53033003200,Tract 003200,708200,56707
34,53033003300,Tract 003300,665500,40915
35,53033003400,Tract 003400,723200,40727
36,53033003500,Tract 003500,808500,35563
37,53033003600,Tract 003600,694400,57916
38,53033003800,Tract 003800,681500,39214
39,53033003900,Tract 003900,786800,41823
40,53033004000,Tract 004000,711500,112448
41,53033004100,Tract 004100,1247100,120880
42,53033004200,Tract 004200,773500,50783
43,53033004301,Tract 004301,785000,43892
44,53033004302,Tract 004302,497100,300467
45,53033004400,Tract 004400,792100,201259
46,53033004500,Tract 004500,652900,29409
47,53033004600,Tract 004600,812700,58659
48,53033004700,Tract 004700,571900,51370
49,53033004800,Tract 004800,681300,41340
50,53033004900,Tract 004900,571900,80209
51,53033005000,Tract 005000,705200,86709
52,53033005100,Tract 005100,714300,35624
53,53033005200,Tract 005200,653500,71535
54,53033005301,Tract 005301,,
55,53033005302,Tract 005302,,
56,53033005400,Tract 005400,695500,81119
57,53033005600,Tract 005600,907500,51734
58,53033005700,Tract 005700,670800,42194
59,53033005801,Tract 005801,600600,51477
60,53033005802,Tract 005802,688900,91956
61,53033005900,Tract 005900,832900,78996
62,53033006000,Tract 006000,775700,109514
63,53033006100,Tract 006100,765800,86061
64,53033006200,Tract 006200,977500,51867
65,53033006300,Tract 006300,1473500,223464
66,53033006400,Tract 006400,1081700,87804
67,53033006500,Tract 006500,947600,120944
68,53033006600,Tract 006600,741400,106120
