X,Y,OBJECTID,RampID,AssetID,RouteID,Measure,Offset,RouteName,RoadlogID,RL_Measure,RL_Offset,CurrentStatus,Ramp_Type,TruncatedDomes,StampedTexture,CrosswalkMarking,PushButton,Comments,Ownership,Jurisdiction,InventoryDate,InstallDate,ModifiedBy,DBModDate,ActiveDate,RetireDate,DBCreateDate
-122.458316411747,47.4474882505084,1,1,1,9196,38.31701652,32,SW Bank Rd,,,,Active,1A,No,Yes,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.458404207247,47.4474681325503,2,2,2,9196,60.17644031,25,SW Bank Rd,,,,Active,Transition_to_Shoulder,No,No,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460253588612,47.4474654992181,3,3,3,79928,103.77819043,24,SW Bank Rd,,,,Active,Transition_to_Shoulder,No,No,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460391874973,47.4474671025576,4,4,4,79928,138.5747597,24,SW Bank Rd,,,,Active,1B,Yes,No,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460609360847,47.4474671329791,5,5,5,57904,28.56089103,23,SW Bank Rd,,,,Active,1B,Yes,No,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460684014767,47.4474614629401,6,6,6,57904,47.04923511,21,SW Bank Rd,,,,Active,1A,No,Yes,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460844460852,47.4474610608208,7,7,7,57904,86.7684755,21,SW Bank Rd,,,,Active,1A,No,Yes,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461738217032,47.4474606086448,8,8,8,92843,139.23790549,21,SW Bank Rd,,,,Active,1A,No,Yes,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461739486507,47.4474821358602,9,9,9,22075,620.79041257,-21,100th Ave SW,,,,Active,Transition_to_Shoulder,No,No,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461893752068,47.4474520174796,10,10,10,22075,632.37746677,17,100th Ave SW,,,,Active,1A,No,Yes,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.463790585547,47.4474467840793,11,11,11,63584,485.42262815,21,SW Bank Rd,,,,Active,Transition_to_Shoulder,No,No,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.462049272421,47.4473394544091,12,12,12,63584,55.38816584,-23,SW Bank Rd,,,,Active,Transition_to_Shoulder,No,No,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461915175644,47.4473034849571,13,13,13,21944,36.36170974,22,100th Ave SW,,,,Active,1A,No,Yes,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461713085816,47.4473189706222,14,14,14,21944,30.66790029,-28,100th Ave SW,,,,Active,1A,No,Yes,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461427177399,47.4473233237933,15,15,15,92843,62.12382597,-29,SW Bank Rd,,,,Active,1A,No,Yes,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.461107867477,47.4473251154162,16,16,16,32811,28.25071126,-17,99th Pl SW,,,,Active,Transition_to_Shoulder,Yes,No,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460601891248,47.4473410423602,17,17,17,57904,26.88168899,-23,SW Bank Rd,,,,Active,2B,Yes,No,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.460373490398,47.4473406102695,18,18,18,79928,132.58944975,-22,SW Bank Rd,,,,Active,2B,Yes,No,Yes,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.459767366256,47.4473019077104,19,19,19,117664,34.04995946,-17,98th Pl SW & S,,,,Active,1A,No,Yes,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
-122.458307016145,47.4473238403643,20,20,20,9196,36.92244472,-28,SW Bank Rd,,,,Active,1A,No,Yes,No,No,<Null>,Roads,King County,2017/02/09 09:23:15+00,,Automated,2017/02/09 09:23:15+00,2017/02/09 09:23:15+00,,2017/02/09 09:23:15+00
