GEO_ID,Geographic_Area_Name,Total_civilian_noninstitutionalized_population,Percent_with_a_disability
53033000100,Census Tract 1,8195,12.2
53033000200,Census Tract 2,8770,10.2
53033000300,Census Tract 3,2944,11.4
53033000401,Census Tract 4.01,7112,23.5
53033000402,Census Tract 4.02,4960,14.4
53033000500,Census Tract 5,3143,8.5
53033000600,Census Tract 6,8189,12.4
53033000700,Census Tract 7,5433,11.7
53033000800,Census Tract 8,2786,10.7
53033000900,Census Tract 9,2143,10
53033001000,Census Tract 10,2036,7.5
53033001100,Census Tract 11,2572,10
53033001200,Census Tract 12,6971,14.3
53033001300,Census Tract 13,4677,12.7
53033001400,Census Tract 14,5664,9.8
53033001500,Census Tract 15,2733,6.4
53033001600,Census Tract 16,4760,9
53033001701,Census Tract 17.01,4218,8.5
53033001702,Census Tract 17.02,4994,12.2
53033001800,Census Tract 18,4980,6.9
53033001900,Census Tract 19,5079,10.4
53033002000,Census Tract 20,3841,11.7
53033002100,Census Tract 21,4423,5.4
53033002200,Census Tract 22,5849,5.7
53033002400,Census Tract 24,3391,4.2
53033002500,Census Tract 25,3429,9.7
53033002600,Census Tract 26,5377,6.1
53033002700,Census Tract 27,6393,7.4
53033002800,Census Tract 28,5144,6.3
53033002900,Census Tract 29,4856,4.6
53033003000,Census Tract 30,6317,7.1
53033003100,Census Tract 31,6531,6.2
53033003200,Census Tract 32,9078,9
53033003300,Census Tract 33,8205,5.2
53033003400,Census Tract 34,3604,6
53033003500,Census Tract 35,4228,7.4
53033003600,Census Tract 36,7558,13
53033003800,Census Tract 38,2443,4.7
53033003900,Census Tract 39,3086,6
53033004000,Census Tract 40,3214,8.3
53033004100,Census Tract 41,8057,5
53033004200,Census Tract 42,8100,5.8
53033004301,Census Tract 43.01,4044,5.8
53033004302,Census Tract 43.02,4046,9.5
53033004400,Census Tract 44,7664,8.5
53033004500,Census Tract 45,3388,6.4
53033004600,Census Tract 46,3616,7.1
53033004700,Census Tract 47,10303,7.9
53033004800,Census Tract 48,5394,4.1
53033004900,Census Tract 49,7385,6.8
53033005000,Census Tract 50,4404,6.9
53033005100,Census Tract 51,3687,4.7
53033005200,Census Tract 52,6916,5.1
53033005301,Census Tract 53.01,8810,6.7
53033005302,Census Tract 53.02,5878,5.3
53033005400,Census Tract 54,6417,6.2
53033005600,Census Tract 56,7038,4.9
53033005700,Census Tract 57,6851,5.4
53033005801,Census Tract 58.01,5766,6
53033005802,Census Tract 58.02,5952,7.5
53033005900,Census Tract 59,8137,3.8
53033006000,Census Tract 60,6191,5.2
53033006100,Census Tract 61,5412,5.1
53033006200,Census Tract 62,4525,4.8
53033006300,Census Tract 63,5826,7.5
53033006400,Census Tract 64,3739,6.5
53033006500,Census Tract 65,4910,4.6
53033006600,Census Tract 66,4261,5.3
53033006700,Census Tract 67,9365,5.2
53033006800,Census Tract 68,3472,5.1
53033006900,Census Tract 69,5148,6.8
53033007000,Census Tract 70,7454,14.3
53033007100,Census Tract 71,5301,8.3
53033007200,Census Tract 72,11293,8.4
53033007300,Census Tract 73,8440,13.2
53033007401,Census Tract 74.01,5643,5.5
53033007402,Census Tract 74.02,5702,13.2
53033007500,Census Tract 75,9387,10.5
53033007600,Census Tract 76,4531,9
53033007700,Census Tract 77,5452,5.9
53033007800,Census Tract 78,5884,8.6
53033007900,Census Tract 79,6422,10.5
53033008001,Census Tract 80.01,7153,5.4
53033008002,Census Tract 80.02,3755,11.8
53033008100,Census Tract 81,4674,23
53033008200,Census Tract 82,4276,14.2
53033008300,Census Tract 83,3099,21
53033008400,Census Tract 84,5072,11.6
53033008500,Census Tract 85,2645,21
53033008600,Census Tract 86,6329,7.6
53033008700,Census Tract 87,4389,11.8
53033008800,Census Tract 88,4678,6.9
53033008900,Census Tract 89,6031,5.7
53033009000,Census Tract 90,3337,19.7
53033009100,Census Tract 91,2595,25.7
53033009200,Census Tract 92,2571,28.1
53033009300,Census Tract 93,3099,13.6
53033009400,Census Tract 94,7046,9.4
53033009500,Census Tract 95,6787,9.5
53033009600,Census Tract 96,5667,8.6
53033009701,Census Tract 97.01,6019,6.3
53033009702,Census Tract 97.02,5695,10.6
53033009800,Census Tract 98,7318,8.2
53033009900,Census Tract 99,5887,9
53033010001,Census Tract 100.01,4559,11.1
53033010002,Census Tract 100.02,4843,10.3
53033010100,Census Tract 101,8504,11.3
53033010200,Census Tract 102,4946,8.2
53033010300,Census Tract 103,7425,10.4
53033010401,Census Tract 104.01,4321,12.5
53033010402,Census Tract 104.02,4887,10.7
53033010500,Census Tract 105,8964,10.2
53033010600,Census Tract 106,8640,9.5
53033010701,Census Tract 107.01,3936,8.9
53033010702,Census Tract 107.02,4806,10.6
53033010800,Census Tract 108,4882,10.5
53033010900,Census Tract 109,1094,9.7
53033011001,Census Tract 110.01,5006,16.9
53033011002,Census Tract 110.02,4912,6.7
53033011101,Census Tract 111.01,5561,13.8
53033011102,Census Tract 111.02,4983,5.5
53033011200,Census Tract 112,3566,13.3
53033011300,Census Tract 113,6646,12.7
53033011401,Census Tract 114.01,4489,13
53033011402,Census Tract 114.02,4236,16
53033011500,Census Tract 115,4539,6.3
53033011600,Census Tract 116,7049,6.7
53033011700,Census Tract 117,5467,14.2
53033011800,Census Tract 118,8708,9.3
53033011900,Census Tract 119,7519,12
53033012000,Census Tract 120,3701,5.9
53033012100,Census Tract 121,2746,11.9
53033020100,Census Tract 201,3259,12.9
53033020200,Census Tract 202,5157,14.1
53033020300,Census Tract 203,7349,15.4
53033020401,Census Tract 204.01,3649,10.6
53033020402,Census Tract 204.02,5499,7.3
53033020500,Census Tract 205,6879,10.1
53033020600,Census Tract 206,3678,8.8
53033020700,Census Tract 207,4064,16.6
53033020800,Census Tract 208,4279,12.5
53033020900,Census Tract 209,3329,9.8
53033021000,Census Tract 210,6015,15.7
53033021100,Census Tract 211,4275,6.8
53033021300,Census Tract 213,3972,10.3
53033021400,Census Tract 214,3961,6.1
53033021500,Census Tract 215,4812,7.3
53033021600,Census Tract 216,4903,8.6
53033021700,Census Tract 217,8962,8.7
53033021802,Census Tract 218.02,6014,6.6
53033021803,Census Tract 218.03,5034,13
53033021804,Census Tract 218.04,5194,9.4
53033021903,Census Tract 219.03,6168,10
53033021904,Census Tract 219.04,5230,9.7
53033021905,Census Tract 219.05,5655,7.4
53033021906,Census Tract 219.06,4572,7.8
53033022001,Census Tract 220.01,5646,18.2
53033022003,Census Tract 220.03,5245,10
53033022005,Census Tract 220.05,5024,4.8
53033022006,Census Tract 220.06,3740,8
53033022101,Census Tract 221.01,4907,8.1
53033022102,Census Tract 221.02,6366,10.2
53033022201,Census Tract 222.01,4691,9.3
53033022202,Census Tract 222.02,7437,5.4
53033022203,Census Tract 222.03,5004,5.1
53033022300,Census Tract 223,2669,6.4
53033022400,Census Tract 224,8808,5.4
53033022500,Census Tract 225,8429,8.1
53033022603,Census Tract 226.03,6223,6.3
53033022604,Census Tract 226.04,5090,6.8
53033022605,Census Tract 226.05,6621,7.3
53033022606,Census Tract 226.06,6279,5.5
53033022701,Census Tract 227.01,3302,7.2
53033022702,Census Tract 227.02,4196,5.1
53033022703,Census Tract 227.03,2552,4.4
53033022801,Census Tract 228.01,9124,8.7
53033022802,Census Tract 228.02,5246,5.8
53033022803,Census Tract 228.03,6186,8.9
53033022901,Census Tract 229.01,2707,12.4
53033022902,Census Tract 229.02,6650,7.3
53033023000,Census Tract 230,6159,8.3
53033023100,Census Tract 231,4175,9.9
53033023201,Census Tract 232.01,6615,8.7
53033023202,Census Tract 232.02,4594,17.9
53033023300,Census Tract 233,7262,14.3
