GEO_ID,Households_Median_income,Families_Median_income,Married_couple_families_Median_income,Nonfamily_households_Median_income
53033000100,55143,84516,104375,39470
53033000200,77463,93145,112500,61860
53033000300,100917,120417,132404,56962
53033000401,32877,92292,96364,25501
53033000402,72150,141691,164608,48778
53033000500,148906,187738,193611,57019
53033000600,77269,84420,94881,62716
53033000700,64310,90275,100225,45047
53033000800,102500,128472,146875,53977
53033000900,147750,174375,181250,85938
53033001000,110956,119375,135536,63125
53033001100,95573,115568,121900,56477
53033001200,51807,70662,90125,38720
53033001300,72850,101202,108702,51458
53033001400,93948,130443,133345,70222
53033001500,128059,154423,191964,74223
53033001600,143125,178393,189712,71653
53033001701,75162,92839,103889,69643
53033001702,93679,114508,135956,67734
53033001800,95993,100391,119511,89231
53033001900,89448,143950,151042,71667
53033002000,121184,161184,168864,74688
53033002100,113750,164821,173107,65714
53033002200,134554,183417,212417,63281
53033002400,126944,140855,169653,79432
53033002500,121635,157857,167813,41625
53033002600,114219,146944,160855,62893
53033002700,145500,169648,182330,105417
53033002800,137127,182574,185602,86776
53033002900,112969,148406,154306,59906
53033003000,105581,136360,146673,63750
53033003100,127787,160434,177143,73509
53033003200,95182,137351,165875,59728
53033003300,127665,160962,171950,86736
53033003400,112650,134638,154306,64700
53033003500,105625,134813,150000,63580
53033003600,83739,129896,153750,60531
53033003800,124286,165855,174286,53606
53033003900,111806,168553,186500,53563
53033004000,85707,163802,181500,54274
53033004100,178935,213092,223571,77981
53033004200,128966,179821,205679,82674
53033004301,95764,180521,181563,55978
53033004302,34461,56346,72054,30347
53033004400,64026,163385,177868,44823
53033004500,113669,146071,154333,98188
53033004600,136528,178889,197625,86325
53033004700,96745,123203,140560,86004
53033004800,121492,134621,161985,98583
53033004900,101203,168750,205846,82018
53033005000,98698,125956,150150,78939
53033005100,119625,146458,165074,79219
53033005200,47883,100438,141830,31947
53033005301,26413,48824,67813,24167
53033005302,17188,56250,56250,-
53033005400,110956,137115,158977,81607
53033005600,167622,172986,195033,75063
53033005700,118750,150750,175313,63032
53033005801,98281,110063,117344,85915
53033005802,77424,140962,179231,68309
